CID,CO_MACSAUD,UF,CO_MUNICIP_R,NOME DO MUNICÍPIO,pop,MortPor100k,mortes_p_covid,A419,A419,J189,J189,J969,J969,J449,J449,J81X,J81X,tot2019,tot2020,dif20_19,%dif20_19,dif20_19_por100khab,tot2019_por100k,%dif20_19_por_mortes_covid
162,1509,PA,150295,Eldorado do Carajás,33940,44.19563936358279,15.0,4.0,7.0,1.0,1.0,7.0,8.0,2.0,1.0,1.0,2.0,15.0,19.0,4.0,26.66666666666666,11.785503830288745,44.19563936358279,26.666666666666668
163,1509,PA,150304,Floresta do Araguaia,20525,34.1047503045067,7.0,11.0,5.0,5.0,5.0,5.0,6.0,1.0,3.0,1.0,2.0,23.0,21.0,-2.0,-8.695652173913048,-9.7442143727162,112.05846528623628,-28.57142857142857
164,1509,PA,150309,Goianésia do Pará,41081,46.2500912830749,19.0,18.0,10.0,8.0,2.0,2.0,7.0,0.0,1.0,2.0,7.0,30.0,27.0,-3.0,-9.999999999999998,-7.302645992064458,73.02645992064458,-15.789473684210526
165,1509,PA,150370,Itupiranga,53355,74.96954362290319,40.0,24.0,17.0,13.0,4.0,8.0,6.0,5.0,2.0,1.0,11.0,51.0,40.0,-11.0,-21.568627450980394,-20.61662449629838,95.58616811920157,-27.500000000000004
166,1509,PA,150380,Jacundá,59842,45.11881287390127,27.0,33.0,25.0,16.0,12.0,9.0,9.0,3.0,1.0,1.0,6.0,62.0,53.0,-9.0,-14.516129032258062,-15.039604291300424,103.60616289562515,-33.33333333333333
167,1509,PA,150420,Marabá,283542,87.4649963673812,248.0,125.0,99.0,88.0,101.0,68.0,52.0,29.0,17.0,18.0,19.0,328.0,288.0,-40.0,-12.195121951219512,-14.107257478609872,115.67951132460094,-16.129032258064516
168,1509,PA,150497,Nova Ipixuna,16854,53.3997864008544,9.0,5.0,4.0,2.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,13.0,5.0,-8.0,-61.53846153846154,-47.466476800759466,77.13302480123413,-88.88888888888889
169,1509,PA,150506,Novo Repartimento,77214,54.39428082990132,42.0,45.0,35.0,24.0,21.0,7.0,6.0,2.0,1.0,9.0,11.0,87.0,74.0,-13.0,-14.942528735632187,-16.83632501877898,112.67386743336701,-30.952380952380953
170,1509,PA,150543,Ourilândia do Norte,33335,74.99625018749063,25.0,10.0,11.0,3.0,2.0,7.0,5.0,2.0,0.0,5.0,2.0,27.0,20.0,-7.0,-25.92592592592593,-20.998950052497378,80.99595020248987,-28.000000000000004
171,1509,PA,150549,Palestina do Pará,7582,52.75652862041678,4.0,3.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,5.0,7.0,2.0,39.99999999999999,26.37826431020839,65.94566077552098,50.0
172,1509,PA,150553,Parauapebas,213576,94.57991534629359,202.0,131.0,96.0,55.0,49.0,30.0,51.0,24.0,13.0,12.0,10.0,252.0,219.0,-33.0,-13.095238095238093,-15.451174289245982,117.99078548151478,-16.33663366336634
