CO_MUNICIP,CO_MACSAUD
290930,2912
290940,2912
290970,2912
291077,2912
291110,2912
291320,2912
291410,2912
291735,2912
291955,2912
292045,2912
292160,2912
292225,2912
292320,2912
292370,2912
292620,2912
292810,2912
292820,2912
292840,2912
292890,2912
292905,2912
293015,2912
293030,2912
293075,2912
293090,2912
293345,2912
290020,2913
290135,2913
290180,2913
290590,2913
290600,2913
290682,2913
290720,2913
290770,2913
290990,2913
291085,2913
291140,2913
291700,2913
291770,2913
291810,2913
291840,2913
291990,2913
292400,2913
292420,2913
292440,2913
292460,2913
292525,2913
292600,2913
292710,2913
292760,2913
293010,2913
293020,2913
293077,2913
293200,2913
290030,2914
290035,2914
290070,2914
290160,2914
290190,2914
290205,2914
290220,2914
290265,2914
290700,2914
290750,2914
290780,2914
290790,2914
290920,2914
290960,2914
291050,2914
291060,2914
291075,2914
291185,2914
291370,2914
291590,2914
291650,2914
291790,2914
292290,2914
292305,2914
292310,2914
292330,2914
292380,2914
292410,2914
292650,2914
292660,2914
292700,2914
292970,2914
293076,2914
290100,2915
290230,2915
290485,2915
290490,2915
290570,2915
290650,2915
290730,2915
290820,2915
290830,2915
290860,2915
290980,2915
291005,2915
291020,2915
291030,2915
291160,2915
291610,2915
291685,2915
291780,2915
291820,2915
291880,2915
291920,2915
291992,2915
292060,2915
292100,2915
292130,2915
292220,2915
292230,2915
292240,2915
292250,2915
292520,2915
292575,2915
292730,2915
292740,2915
292850,2915
292860,2915
292870,2915
292900,2915
292910,2915
292920,2915
292940,2915
292950,2915
292960,2915
292975,2915
293070,2915
293210,2915
293317,2915
293320,2915
290080,2916
290340,2916
290690,2916
291072,2916
291180,2916
291280,2916
291465,2916
291530,2916
291560,2916
291600,2916
291630,2916
291845,2916
291890,2916
292110,2916
292200,2916
292300,2916
292530,2916
292550,2916
292770,2916
293135,2916
293325,2916
290010,2917
290040,2917
290110,2917
290130,2917
290150,2917
290170,2917
290210,2917
290260,2917
290327,2917
290360,2917
290380,2917
290400,2917
290405,2917
290640,2917
290680,2917
290685,2917
290840,2917
290850,2917
290890,2917
291070,2917
291080,2917
291125,2917
291190,2917
291260,2917
291300,2917
291330,2917
291380,2917
291400,2917
291440,2917
291450,2917
291470,2917
291500,2917
291900,2917
291910,2917
291930,2917
291960,2917
292080,2917
292150,2917
292190,2917
292210,2917
292265,2917
292273,2917
292285,2917
292303,2917
292350,2917
292405,2917
292430,2917
292465,2917
292580,2917
292590,2917
292595,2917
292610,2917
292630,2917
292720,2917
292750,2917
292800,2917
292830,2917
292880,2917
292895,2917
292930,2917
292990,2917
293040,2917
293050,2917
293080,2917
293110,2917
293140,2917
293150,2917
293170,2917
293190,2917
293280,2917
293300,2917
293340,2917
290115,2918
290300,2918
290323,2918
290510,2918
290530,2918
290550,2918
290620,2918
290687,2918
290760,2918
291130,2918
291240,2918
291310,2918
291460,2918
291535,2918
291750,2918
291835,2918
291850,2918
291915,2918
292010,2918
292120,2918
292140,2918
292170,2918
292205,2918
292335,2918
292480,2918
292560,2918
292593,2918
292925,2918
292937,2918
292980,2918
293060,2918
293130,2918
293240,2918
293245,2918
293305,2918
293310,2918
293315,2918
293360,2918
310120,3101
310130,3101
310140,3101
310160,3101
310190,3101
310200,3101
310260,3101
310410,3101
310430,3101
310490,3101
310530,3101
310710,3101
310760,3101
310790,3101
310830,3101
310840,3101
310890,3101
310910,3101
310950,3101
310970,3101
311030,3101
311050,3101
311060,3101
311070,3101
311090,3101
311100,3101
311130,3101
311160,3101
311240,3101
311280,3101
311360,3101
311390,3101
311410,3101
311440,3101
311460,3101
311470,3101
311480,3101
311510,3101
311550,3101
311640,3101
311710,3101
311720,3101
311770,3101
311780,3101
311790,3101
311850,3101
311870,3101
311900,3101
311990,3101
312050,3101
312080,3101
312110,3101
312120,3101
312240,3101
312280,3101
312340,3101
312360,3101
312440,3101
312450,3101
312510,3101
312520,3101
312630,3101
312740,3101
312810,3101
312830,3101
312870,3101
312920,3101
312970,3101
